Context,Response
Context: i wish it would cool off one day.,"Response: that's how i feel, i want winter to come soon."
"Context: that's how i feel, i want winter to come soon.","Response: i enjoy the winter, but it gets really cold sometimes."
"Context: i enjoy the winter, but it gets really cold sometimes.","Response: i know what you mean, but i'd rather be cold than hot."
"Context: i know what you mean, but i'd rather be cold than hot.",Response: that's exactly how i feel.
Context: i wish it was a nicer day today.,Response: that is true. i hope it doesn't rain.
Context: that is true. i hope it doesn't rain.,Response: it wouldn't rain in the middle of the summer.
Context: it wouldn't rain in the middle of the summer.,Response: it wouldn't seem right if it started raining right now.
Context: it wouldn't seem right if it started raining right now.,Response: it would be weird if it started raining in ninety degree weather.
Context: it would be weird if it started raining in ninety degree weather.,Response: any rain right now would be pointless.
Context: any rain right now would be pointless.,"Response: that's right, it really would be."
"Context: that's right, it really would be.",Response: i want it to cool down some.
Context: i want it to cool down some.,"Response: i know what you mean, i can't wait until it's winter."
"Context: i know what you mean, i can't wait until it's winter.",Response: winter is great. i wish it didn't get so cold sometimes though.
Context: winter is great. i wish it didn't get so cold sometimes though.,Response: i would rather deal with the winter than the summer.
Context: it's such a nice day.,"Response: yes, it is."
"Context: yes, it is.",Response: it looks like it may rain soon.
Context: it looks like it may rain soon.,"Response: yes, and i hope that it does."
"Context: yes, and i hope that it does.",Response: why is that?
Context: why is that?,Response: i really love how rain clears the air.
Context: i really love how rain clears the air.,Response: me too. it always smells so fresh after it rains.
Context: me too. it always smells so fresh after it rains.,"Response: yes, but i love the night air after it rains."
"Context: yes, but i love the night air after it rains.",Response: really? why is it?
Context: really? why is it?,Response: because you can see the stars perfectly.
Context: because you can see the stars perfectly.,Response: i really hope it rains today.
Context: i really hope it rains today.,"Response: yeah, me too."
Context: isn't it a nice day?,Response: it really is.
Context: it really is.,Response: it seems that it may rain today.
Context: it seems that it may rain today.,Response: hopefully it will.
Context: hopefully it will.,Response: how come?
Context: how come?,Response: i like how clear the sky gets after it rains.
Context: i like how clear the sky gets after it rains.,Response: i feel the same way. it smells so good after it rains.
Context: i feel the same way. it smells so good after it rains.,Response: i especially love the night air when it rains.
Context: i especially love the night air when it rains.,Response: really? why?
Context: really? why?,Response: the stars look so much closer after it rains.
Context: the stars look so much closer after it rains.,Response: i really want it to rain today.
Context: i really want it to rain today.,"Response: yeah, so do i."
Context: don't you think it's nice out?,"Response: yes, i think so too."
"Context: yes, i think so too.",Response: i think that it's going to rain.
Context: i think that it's going to rain.,Response: i hope that it does rain.
Context: i hope that it does rain.,Response: you like the rain?
Context: you like the rain?,Response: the sky looks so clean after it rains. i love it.
Context: the sky looks so clean after it rains. i love it.,Response: i understand. rain does make it smell cleaner.
Context: i understand. rain does make it smell cleaner.,Response: i love most how it is at night after it rains.
Context: i love most how it is at night after it rains.,Response: how come?
Context: how come?,Response: you can see the stars so much more clearly after it rains.
Context: you can see the stars so much more clearly after it rains.,Response: i would love for it to rain today.
Context: i really want to go to the beach this weekend.,Response: that sounds like fun. what's the weather going to be like?
Context: that sounds like fun. what's the weather going to be like?,Response: i heard that it's going to be warm this weekend.
Context: i heard that it's going to be warm this weekend.,Response: is it going to be perfect beach weather?
Context: is it going to be perfect beach weather?,Response: i believe so.
Context: i believe so.,Response: good. i hope it doesn't cool off this weekend.
Context: good. i hope it doesn't cool off this weekend.,Response: i know. i really want to go to the beach.
Context: i know. i really want to go to the beach.,Response: but you know that california weather is really unpredictable.
Context: but you know that california weather is really unpredictable.,"Response: you're right. one minute it's hot, and then the next minute it's cold."
"Context: you're right. one minute it's hot, and then the next minute it's cold.",Response: i really wish the weather would just stay the same.
Context: i really wish the weather would just stay the same.,Response: i do too. that way we can have our activities planned ahead of time.
Context: i do too. that way we can have our activities planned ahead of time.,"Response: yeah, that would make things a lot easier."
Context: i would like to take a trip to the beach this weekend.,Response: a trip to the beach would be fun. how is the weather going to be?
Context: a trip to the beach would be fun. how is the weather going to be?,Response: the forecast says that it will be warm on the weekend.
Context: the forecast says that it will be warm on the weekend.,Response: so do you think it'll be perfect weather for the beach?
Context: so do you think it'll be perfect weather for the beach?,Response: it sounds like it will be.
Context: it sounds like it will be.,Response: i really hope it doesn't get cold.
Context: i really hope it doesn't get cold.,"Response: that would ruin things, i want to go so badly."
"Context: that would ruin things, i want to go so badly.","Response: the weather in california is unpredictable, so you never know."
"Context: the weather in california is unpredictable, so you never know.",Response: that is true. the weather is constantly changing.
Context: that is true. the weather is constantly changing.,Response: it would be nice if the weather would never change.
Context: it would be nice if the weather would never change.,"Response: that would be great, then we could plan things sooner."
"Context: that would be great, then we could plan things sooner.",Response: true. predictable weather would make life easier.
Context: it would be nice to go to the beach sometime this weekend.,Response: what's the weather going to be like? i may want to go too.
Context: what's the weather going to be like? i may want to go too.,Response: the weather this weekend is supposed to be warm.
Context: the weather this weekend is supposed to be warm.,Response: will it be good beach weather?
Context: will it be good beach weather?,Response: i think it will be.
Context: i think it will be.,Response: it wouldn't be good if it got cold this weekend.
Context: it wouldn't be good if it got cold this weekend.,"Response: i want this trip to be perfect, i hope it stays warm."
"Context: i want this trip to be perfect, i hope it stays warm.","Response: this california weather is so uncertain, it's impossible to know what'll happen."
"Context: this california weather is so uncertain, it's impossible to know what'll happen.",Response: i know. every day the weather seems different.
Context: i know. every day the weather seems different.,Response: i would love it if it wasn't always so unpredictable.
Context: i would love it if it wasn't always so unpredictable.,Response: that would make it easier for us to make plans.
"Context: hello, may i speak to alice please?",Response: this is she. how's it going?
Context: this is she. how's it going?,Response: i've been trying to call you all day.
Context: i've been trying to call you all day.,Response: sorry about that. i was cleaning up.
Context: sorry about that. i was cleaning up.,Response: it's okay.
Context: it's okay.,Response: so what were you calling me about?
Context: so what were you calling me about?,"Response: oh, i just wanted to see if you wanted to hang out tomorrow."
"Context: oh, i just wanted to see if you wanted to hang out tomorrow.","Response: sure, what did you want to do?"
"Context: sure, what did you want to do?",Response: maybe we can go see a movie or something.
Context: maybe we can go see a movie or something.,Response: that sounds like fun. let's do it.
Context: that sounds like fun. let's do it.,Response: i'll see you tomorrow then.
Context: i'll see you tomorrow then.,Response: see you then. goodbye.
"Context: hi, how are you. is alice there?",Response: speaking. what's up?
Context: speaking. what's up?,Response: why haven't you answered the phone?
Context: why haven't you answered the phone?,"Response: my bad, i had chores to do."
"Context: my bad, i had chores to do.",Response: that's all right.
Context: that's all right.,Response: what was the reason for your call?
Context: what was the reason for your call?,Response: i want to do something tomorrow with you.
Context: i want to do something tomorrow with you.,Response: sounds good. what did you have in mind?
Context: sounds good. what did you have in mind?,Response: i was thinking about seeing a movie.
Context: i was thinking about seeing a movie.,"Response: okay, let's go see a movie."
"Context: okay, let's go see a movie.",Response: until then.
Context: until then.,Response: talk to you later.
Context: is alice available?,Response: you're talking to her.
Context: you're talking to her.,Response: i've called you a hundred times today.
Context: i've called you a hundred times today.,Response: i was busy doing something. i apologize.
Context: i was busy doing something. i apologize.,Response: no problem.
Context: no problem.,Response: did you need something?
Context: did you need something?,Response: do you want to do something tomorrow?
Context: do you want to do something tomorrow?,Response: is there somewhere special you wanted to go?
Context: is there somewhere special you wanted to go?,Response: how about a movie?
Context: how about a movie?,Response: a movie sounds good.
Context: a movie sounds good.,Response: call me tomorrow then.
Context: have you seen the new girl in school?,"Response: no, i haven't."
"Context: no, i haven't.",Response: she's really pretty.
Context: she's really pretty.,Response: describe her to me.
Context: describe her to me.,Response: she's not too tall.
Context: she's not too tall.,"Response: well, how tall is she?"
"Context: well, how tall is she?",Response: she's about five feet even.
Context: she's about five feet even.,"Response: what does she look like, though?"
"Context: what does she look like, though?",Response: she has pretty light brown eyes.
Context: she has pretty light brown eyes.,Response: i may know which girl you're talking about.
Context: i may know which girl you're talking about.,Response: so you have seen her around?
Context: so you have seen her around?,"Response: yes, i have."
"Context: there's a new girl in school, have you seen her yet?",Response: i haven't seen her yet.
Context: i haven't seen her yet.,Response: i think that she is very pretty.
Context: i think that she is very pretty.,Response: tell me how she looks.
Context: tell me how she looks.,Response: she's kind of short.
Context: she's kind of short.,Response: what height is she?
Context: what height is she?,Response: she's probably about five feet.
Context: she's probably about five feet.,"Response: that's nice, but tell me what she looks like."
"Context: that's nice, but tell me what she looks like.",Response: the first thing i noticed was her beautiful brown eyes.
Context: the first thing i noticed was her beautiful brown eyes.,Response: i think i might've bumped into her before.
Context: i think i might've bumped into her before.,Response: are you telling me that you've seen her before?
Context: are you telling me that you've seen her before?,Response: i believe so.
Context: have you met the new girl?,Response: no. have you?
Context: no. have you?,Response: she's one of the prettiest girls at the school.
Context: she's one of the prettiest girls at the school.,Response: what does she look like?
Context: what does she look like?,"Response: well, she's quite short."
"Context: well, she's quite short.",Response: how tall would you say that she is?
Context: how tall would you say that she is?,Response: i would say she's only five feet.
Context: i would say she's only five feet.,Response: what about her facial features?
Context: what about her facial features?,"Response: she has light brown eyes, absolutely beautiful."
"Context: she has light brown eyes, absolutely beautiful.",Response: i think i know who you're talking about.
Context: i think i know who you're talking about.,Response: have you seen her?
Context: why weren't you at school yesterday?,Response: i wasn't really feeling well.
Context: i wasn't really feeling well.,Response: what was wrong with you?
Context: what was wrong with you?,Response: my stomach was upset.
Context: my stomach was upset.,Response: do you feel better now?
Context: do you feel better now?,Response: i don't really feel too well yet.
Context: i don't really feel too well yet.,Response: do you want anything to make you feel better?
Context: do you want anything to make you feel better?,"Response: no, thanks. i already took some medicine."
"Context: no, thanks. i already took some medicine.",Response: i hope you feel better.
Context: i hope you feel better.,Response: thank you.
Context: what reason do you have for missing school?,Response: i was sick.
Context: i was sick.,Response: how were you sick?
Context: how were you sick?,Response: i had a stomachache.
Context: i had a stomachache.,Response: did it get any better?
Context: did it get any better?,Response: i'm still feeling under the weather.
Context: i'm still feeling under the weather.,Response: would you like anything for your stomach?
Context: would you like anything for your stomach?,Response: i took something earlier.
Context: i took something earlier.,Response: get better.
Context: get better.,Response: thanks a lot.
Context: why didn't you go to school yesterday?,Response: i stayed home because i wasn't feeling well.
Context: i stayed home because i wasn't feeling well.,Response: what was your problem?
Context: what was your problem?,Response: my stomach was bothering me.
Context: my stomach was bothering me.,Response: are you feeling any better?
Context: are you feeling any better?,Response: i'm still feeling a little sick.
Context: i'm still feeling a little sick.,"Response: i'm going to the store, would you like any pepto bismol?"
"Context: i'm going to the store, would you like any pepto bismol?",Response: that's okay.
Context: that's okay.,Response: i hope you feel better.
Context: did you hear the good news?,"Response: no, i haven't."
"Context: no, i haven't.",Response: i got a promotion at my job.
Context: i got a promotion at my job.,Response: did you really?
Context: did you really?,"Response: seriously, i am so excited."
"Context: seriously, i am so excited.","Response: well, congratulations."
"Context: well, congratulations.",Response: thank you.
Context: thank you.,Response: i'm so happy for you.
Context: i'm so happy for you.,Response: really?
Context: really?,Response: yes. you really deserved this.
Context: yes. you really deserved this.,Response: you think so?
Context: you think so?,Response: yes. good for you.
Context: have you heard my good news?,Response: you haven't told me anything yet.
Context: you haven't told me anything yet.,Response: i got a promotion at work earlier this week.
Context: i got a promotion at work earlier this week.,Response: is that right?
Context: is that right?,Response: it's the truth. i am really happy.
Context: it's the truth. i am really happy.,Response: congratulations on your promotion.
Context: congratulations on your promotion.,Response: thank you very much.
Context: thank you very much.,Response: i am really excited for you.
Context: i am really excited for you.,Response: are you really?
Context: are you really?,Response: i'm serious. you deserved this promotion.
Context: i'm serious. you deserved this promotion.,Response: is that what you really think?
Context: is that what you really think?,"Response: yes, i do."
"Context: i haven't told you what happened yet, have i?",Response: i haven't heard anything.
Context: i haven't heard anything.,"Response: my boss offered me a promotion, and i took it."
"Context: my boss offered me a promotion, and i took it.",Response: are you serious?
Context: are you serious?,"Response: yes, i am really excited."
"Context: yes, i am really excited.",Response: that's great. congratulations.
Context: that's great. congratulations.,Response: i appreciate that.
Context: i appreciate that.,Response: you have no idea how happy i am for you.
Context: you have no idea how happy i am for you.,Response: for real?
Context: you look really nice today. ,Response: thank you. i just got this outfit the other day.
Context: thank you. i just got this outfit the other day.,"Response: really, where did you get it?"
"Context: really, where did you get it?",Response: i got it from macy's.
Context: i got it from macy's.,Response: it's really nice.
Context: it's really nice.,"Response: thanks again. you look nice today, too."
"Context: thanks again. you look nice today, too.",Response: thank you. i just got these shoes today.
Context: thank you. i just got these shoes today.,Response: really? what kind of shoes are they?
Context: really? what kind of shoes are they?,Response: these are called all star chuck taylors.
Context: these are called all star chuck taylors.,Response: i really like those. how much did they cost?
Context: i really like those. how much did they cost?,Response: they were about forty dollars.
Context: they were about forty dollars.,Response: i think i'm going to go buy myself a pair.
Context: i absolutely love what you're wearing today.,Response: you do? i just bought this outfit a couple days ago.
Context: you do? i just bought this outfit a couple days ago.,"Response: seriously, it looks really nice on you. where did you buy it from?"
"Context: seriously, it looks really nice on you. where did you buy it from?",Response: i bought it from the macy's at the santa anita mall.
Context: i bought it from the macy's at the santa anita mall.,Response: i really like that outfit.
Context: i really like that outfit.,"Response: thanks. i think you look nice today, too."
"Context: thanks. i think you look nice today, too.",Response: thank you. i just bought these new shoes earlier today.
Context: thank you. i just bought these new shoes earlier today.,Response: those are nice. what are they?
Context: those are nice. what are they?,Response: these are some chucks.
Context: these are some chucks.,Response: those are great. how much were they?
Context: those are great. how much were they?,Response: i got them for forty.
Context: i got them for forty.,Response: i think i might go and find me my own pair of chucks.
Context: i think that you look very cute today.,Response: is that right? this is a brand new outfit.
Context: is that right? this is a brand new outfit.,Response: what store did you get it from?
Context: what store did you get it from?,Response: i went to macy's and picked it out.
Context: i went to macy's and picked it out.,Response: i love your outfit right now.
Context: i love your outfit right now.,"Response: well, i think you look nice today too."
"Context: well, i think you look nice today too.",Response: thanks. i found these new shoes earlier at the store.
Context: thanks. i found these new shoes earlier at the store.,Response: i think that those are some really nice shoes. what kind are they?
Context: i think that those are some really nice shoes. what kind are they?,Response: these are chucks.
Context: these are chucks.,Response: your shoes look really nice. how much did you get them for?
Context: your shoes look really nice. how much did you get them for?,Response: they only cost me about forty dollars.
"Context: tell me, what do you enjoy doing in your spare time?",Response: i enjoy drawing and painting.
Context: i enjoy drawing and painting.,Response: you know how to draw and paint?
Context: you know how to draw and paint?,"Response: yes, i do."
"Context: yes, i do.",Response: when did you learn how to do that?
Context: when did you learn how to do that?,Response: i learned back in high school.
Context: i learned back in high school.,"Response: oh, so you took an art class?"
"Context: oh, so you took an art class?","Response: yeah, i loved that class."
"Context: yeah, i loved that class.",Response: i see that you're pretty talented.
Context: i see that you're pretty talented.,Response: thank you very much.
Context: thank you very much.,Response: i wish i had a talent like that.
Context: i wish i had a talent like that.,Response: i'm sure you have a talent. it's just hidden.
Context: what kinds of things do you like to do?,Response: i've always liked to draw and paint.
Context: i've always liked to draw and paint.,Response: i didn't know you knew how to draw and paint.
Context: i didn't know you knew how to draw and paint.,Response: i do it every once in a while.
Context: i do it every once in a while.,Response: how long have you known how to do that?
Context: how long have you known how to do that?,Response: i first learned how to do it in high school.
Context: i first learned how to do it in high school.,Response: did you take some sort of art class or something?
Context: did you take some sort of art class or something?,Response: that was my favorite class.
Context: that was my favorite class.,Response: you have got to be talented.
Context: you have got to be talented.,Response: thanks.
Context: thanks.,Response: if only i was talented.
Context: if only i was talented.,Response: you have a talent. you just don't know what it is yet.
Context: are there any hobbies you do?,"Response: when i have time, i sometimes draw and paint."
"Context: when i have time, i sometimes draw and paint.","Response: oh, you actually do that?"
"Context: oh, you actually do that?","Response: every so often, i do."
"Context: every so often, i do.",Response: did you always know how to draw and paint?
Context: did you always know how to draw and paint?,Response: i was taught in high school how to draw and paint.
Context: i was taught in high school how to draw and paint.,Response: you had an art class?
Context: you had an art class?,"Response: exactly, it was my favorite class."
"Context: exactly, it was my favorite class.","Response: well, it's good that you're so talented."
"Context: well, it's good that you're so talented.",Response: i appreciate that.
Context: i appreciate that.,"Response: talent is a great thing, i wish i had one."
Context: what's your favorite movie?,Response: my favorite movie is superbad.
Context: my favorite movie is superbad.,"Response: oh, why is that?"
"Context: oh, why is that?",Response: it's the funniest movie that i've ever seen.
Context: it's the funniest movie that i've ever seen.,Response: that's true. it is a very funny movie.
Context: that's true. it is a very funny movie.,Response: you've seen it before? 
Context: you've seen it before? ,"Response: yes, i saw that movie the first day it came out in theaters."
"Context: yes, i saw that movie the first day it came out in theaters.",Response: didn't you laugh through the whole movie? i did.
Context: didn't you laugh through the whole movie? i did.,Response: me too. that movie brought tears to my eyes.
Context: me too. that movie brought tears to my eyes.,Response: mine too.
Context: mine too.,Response: i have it on dvd at my house if you want to come over and watch it.
Context: i have it on dvd at my house if you want to come over and watch it.,"Response: sure, let's go."
Context: which movie is your favorite to watch?,"Response: i have to say, my favorite movie is superbad."
"Context: i have to say, my favorite movie is superbad.",Response: is that right? why?
Context: is that right? why?,"Response: honestly, it is one of the funniest movies i've seen in a long time."
"Context: honestly, it is one of the funniest movies i've seen in a long time.",Response: you're right. that movie is hilarious.
Context: you're right. that movie is hilarious.,Response: i didn't think you saw that movie.
Context: i didn't think you saw that movie.,Response: i went to see it the day it came out.
Context: i went to see it the day it came out.,Response: i was laughing through the whole movie.
Context: i was laughing through the whole movie.,"Response: i couldn't help laughing, either. "
"Context: i couldn't help laughing, either. ",Response: same here.
Context: same here.,Response: i bought the movie. would you like to come to my house and watch it?
Context: i bought the movie. would you like to come to my house and watch it?,Response: of course.
"Context: out of every movie that you've seen, which one is your favorite?",Response: i'm going to have to say that superbad is the best movie ever.
Context: i'm going to have to say that superbad is the best movie ever.,"Response: you think so, how come?"
"Context: you think so, how come?","Response: well, superbad is super funny."
"Context: well, superbad is super funny.","Response: you're not lying, i found that movie absolutely hilarious."
"Context: you're not lying, i found that movie absolutely hilarious.",Response: i didn't know that you saw superbad before.
Context: i didn't know that you saw superbad before.,Response: i made sure to be in line to see it the first day it came out.
Context: i made sure to be in line to see it the first day it came out.,Response: i couldn't keep from laughing throughout the whole movie.
Context: i couldn't keep from laughing throughout the whole movie.,Response: i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
Context: i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,Response: that's exactly how i felt.
Context: that's exactly how i felt.,"Response: i got the movie when it came out on dvd, do you want to come over?"
Context: what type of music do you like to listen to?,Response: i like listening to different kinds of music.
Context: i like listening to different kinds of music.,"Response: like what, for instance?"
"Context: like what, for instance?",Response: i enjoy rock and r&b.
Context: i enjoy rock and r&b.,Response: why is that?
Context: why is that?,Response: i like the different instruments that they use.
Context: i like the different instruments that they use.,Response: that's a good reason to like something.
Context: that's a good reason to like something.,"Response: yeah, i think so too."
Context: what kind of music do you enjoy listening to?,Response: i enjoy listening to all kinds of music.
Context: i enjoy listening to all kinds of music.,Response: what kind?
Context: what kind?,Response: i like to listen to rock and r&b.
Context: i like to listen to rock and r&b.,Response: why do you like that type of music?
Context: why do you like that type of music?,Response: i like the kinds of instruments that they use.
Context: i like the kinds of instruments that they use.,Response: i think that's an excellent reason to like something.
Context: i think that's an excellent reason to like something.,"Response: thanks, i feel the same way."
Context: what is your favorite kind of music?,Response: i listen to various types of music.
Context: i listen to various types of music.,Response: what genres?
Context: what genres?,Response: i enjoy listening to both rock and r&b.
Context: i enjoy listening to both rock and r&b.,Response: what interests you in that type of music?
Context: what interests you in that type of music?,Response: i enjoy the different types of instruments that they use.
Context: i enjoy the different types of instruments that they use.,Response: that is a perfect reason to like a certain kind of music.
Context: did you go to the basketball game on friday?,"Response: no, i couldn't make it."
"Context: no, i couldn't make it.",Response: you missed a really good game.
Context: you missed a really good game.,"Response: oh, really? who won?"
"Context: oh, really? who won?",Response: our school did. they played really well.
Context: our school did. they played really well.,Response: too bad i was busy. i really wanted to go.
Context: too bad i was busy. i really wanted to go.,"Response: yeah, you should have. it was really exciting."
"Context: yeah, you should have. it was really exciting.",Response: so what was the score?
Context: so what was the score?,Response: the score was 101-98.
Context: the score was 101-98.,"Response: man, that was a really close game."
"Context: man, that was a really close game.",Response: that's what made it so great.
Context: that's what made it so great.,Response: i'll make sure and make it to the next one.
Context: were you able to attend friday night's basketball game?,Response: i was unable to make it.
Context: i was unable to make it.,Response: you should have been there. it was intense.
Context: you should have been there. it was intense.,Response: is that right. who ended up winning?
Context: is that right. who ended up winning?,Response: our team was victorious.
Context: our team was victorious.,Response: i wish i was free that night. i'm kind of mad that i didn't go.
Context: i wish i was free that night. i'm kind of mad that i didn't go.,Response: it was a great game.
Context: it was a great game.,Response: what was the score at the end of the game?
Context: what was the score at the end of the game?,Response: our team won 101-98.
Context: our team won 101-98.,Response: sounds like it was a close game.
Context: sounds like it was a close game.,Response: that's the reason it was such a great game.
Context: that's the reason it was such a great game.,"Response: the next game, i will definitely be there."
Context: i was meaning to ask you if you saw the basketball game on friday.,"Response: i wanted to go, but i couldn't."
"Context: i wanted to go, but i couldn't.",Response: it was a great game.
Context: it was a great game.,Response: it's too bad that i couldn't make it. who won?
Context: it's too bad that i couldn't make it. who won?,Response: our team played hard and won.
Context: our team played hard and won.,Response: i really wish i went to the game.
Context: i really wish i went to the game.,Response: it was the best game ever.
Context: it was the best game ever.,Response: so tell me the final score.
Context: so tell me the final score.,"Response: the other team lost by three points, 101-98. "
"Context: the other team lost by three points, 101-98. ",Response: it must've been a close game.
Context: it must've been a close game.,Response: it really was. you should've gone.
Context: what are you doing this weekend?,Response: i'm going to the movies with a friend. how about you?
Context: i'm going to the movies with a friend. how about you?,Response: i'm not sure yet.
Context: i'm not sure yet.,"Response: well, did you want to go see a movie with me?"
"Context: well, did you want to go see a movie with me?",Response: what movie are you going to see?
Context: what movie are you going to see?,Response: i'm not sure yet. is there something you want to see?
Context: i'm not sure yet. is there something you want to see?,Response: there's nothing i can think of.
Context: there's nothing i can think of.,"Response: so, did you want to go?"
"Context: so, did you want to go?","Response: no, thanks, maybe another time."
"Context: no, thanks, maybe another time.","Response: okay, sounds good."
Context: do you know what you're going to do this weekend?,Response: i am going to see a movie with a friend of mine. what about you?
Context: i am going to see a movie with a friend of mine. what about you?,Response: i don't know.
Context: i don't know.,Response: would you like to see a movie with me and my friend?
Context: would you like to see a movie with me and my friend?,Response: do you know what movie you're going to watch?
Context: do you know what movie you're going to watch?,"Response: i don't know, but was there a certain movie you wanted to see?"
"Context: i don't know, but was there a certain movie you wanted to see?",Response: none that i can think of.
Context: none that i can think of.,"Response: well, would you like to go?"
"Context: well, would you like to go?","Response: thank you for inviting me, but i think i'll pass."
"Context: thank you for inviting me, but i think i'll pass.",Response: all right. another time then.
Context: you have any ideas as to what you want to do this weekend?,Response: i'm going to the movie theater with my friend. what are you going to do?
Context: i'm going to the movie theater with my friend. what are you going to do?,Response: i'm not quite sure yet.
Context: i'm not quite sure yet.,Response: how about you see a movie with me and my friend?
Context: how about you see a movie with me and my friend?,Response: what movie are you and your friend planning on watching?
Context: what movie are you and your friend planning on watching?,Response: not sure. is there a movie out that catches your eye?
Context: not sure. is there a movie out that catches your eye?,Response: no good movies come to mind.
Context: no good movies come to mind.,Response: have you decided whether or not you would like to go?
Context: have you decided whether or not you would like to go?,"Response: no, thanks. maybe another time."
Context: did you go to school today?,"Response: yeah, i went to school today. were you there?"
"Context: yeah, i went to school today. were you there?","Response: no, i didn't go, i've been sick."
"Context: no, i didn't go, i've been sick.",Response: that sucks. did you want the assignments from english class?
Context: that sucks. did you want the assignments from english class?,"Response: that would be nice, thank you."
"Context: that would be nice, thank you.","Response: no problem, you're welcome."
"Context: no problem, you're welcome.",Response: i will be glad to do the same for you when you're sick.
Context: i will be glad to do the same for you when you're sick.,"Response: well, thank you. i hope to see you at school tomorrow."
Context: have you attended school today?,Response: i attended school today. did you?
Context: i attended school today. did you?,Response: i wasn't able to attend school because i was feeling ill.
Context: i wasn't able to attend school because i was feeling ill.,Response: i'm sorry to hear that. would you like the assignments from english class?
Context: i'm sorry to hear that. would you like the assignments from english class?,"Response: i would really appreciate that, thanks."
"Context: i would really appreciate that, thanks.",Response: it's no trouble at all.
Context: it's no trouble at all.,"Response: if you get sick, i'll return the favor."
"Context: if you get sick, i'll return the favor.",Response: thanks. see you at school tomorrow if you feel better.
Context: have you gone to school today?,Response: i went to school today. did you go to school?
Context: i went to school today. did you go to school?,"Response: i couldn't go to school today, i was sick."
"Context: i couldn't go to school today, i was sick.",Response: that's horrible. i'd be happy to give you the assignments from english class.
Context: that's horrible. i'd be happy to give you the assignments from english class.,"Response: thank you very much, that's kind of you."
"Context: thank you very much, that's kind of you.",Response: don't mention it.
Context: don't mention it.,"Response: when you miss a day of school, i'll be happy to give you the english assignments."
Context: did you hear the news?,Response: what happened?
Context: what happened?,Response: our cousin went into labor and had her baby last week.
Context: our cousin went into labor and had her baby last week.,Response: she did? why didn't anyone tell me?
Context: she did? why didn't anyone tell me?,Response: i would've thought that somebody would have told you.
